CursorX,CursorY,LeftX,RightX,LeftY,RightY,LeftW,LeftH,RighttW,RightH,Origin_left_X,Origin_left_Y,Origin_right_X,Origin_right_Y
9,746,257,248,324,251,30.413812651491096,8.246211251235321,31.0,9.0,236,238,307,242
14,745,256,248,322,253,30.413812651491096,8.246211251235321,31.0,10.0,235,238,305,243
25,741,255,248,321,253,29.427877939124325,9.219544457292889,31.0,10.04987562112089,234,238,305,243
26,741,255,248,320,253,30.413812651491096,9.055385138137417,32.0,10.0,233,238,304,243
26,741,254,248,320,252,30.26549190084311,9.219544457292889,31.0,9.0,232,238,303,243
26,741,254,248,320,253,29.27456233660889,9.219544457292889,31.0,10.0,233,238,304,243
26,741,253,248,319,253,29.27456233660889,9.055385138137417,31.0,10.0,232,238,303,243
26,741,253,248,320,252,29.427877939124325,8.06225774829855,31.0,9.0,232,238,303,243
26,741,255,250,321,255,27.018512172212592,6.0827625302982185,30.14962686336267,6.0827625302982185,234,242,302,246
26,741,253,249,319,253,29.27456233660889,8.06225774829855,31.016124838541643,8.0,232,240,302,244
26,741,254,248,320,252,29.27456233660889,8.246211251235321,31.0,9.0,233,239,303,243
26,741,255,248,321,253,29.427877939124325,8.06225774829855,32.0,10.0,234,239,304,243
26,741,256,249,322,253,29.27456233660889,8.246211251235321,31.0,9.055385138137417,235,240,305,244
26,741,255,249,321,253,29.27456233660889,8.06225774829855,31.0,9.0,234,239,305,244
26,741,255,249,321,252,30.26549190084311,8.246211251235321,31.0,10.04987562112089,233,239,305,243
26,741,255,249,322,253,29.27456233660889,10.04987562112089,31.016124838541643,10.0,234,239,305,243
26,741,258,252,325,256,28.160255680657446,6.0827625302982185,30.06659275674582,7.0710678118654755,236,244,305,248
26,741,255,249,321,255,29.27456233660889,9.055385138137417,31.0,9.055385138137417,234,240,304,245
26,741,255,249,320,253,29.1547594742265,8.06225774829855,31.0,9.0,234,240,304,244
26,741,254,249,320,253,29.1547594742265,9.055385138137417,31.0,9.0,233,240,304,244
26,741,255,250,320,253,30.413812651491096,9.055385138137417,32.0,9.0,233,240,304,244
26,741,254,250,320,254,30.26549190084311,9.055385138137417,31.0,10.0,233,240,304,244
26,741,254,250,320,253,30.26549190084311,9.055385138137417,31.0,9.0,233,240,304,244
26,741,257,252,324,257,29.068883707497264,7.0710678118654755,31.064449134018133,7.0710678118654755,235,244,304,248
26,741,256,251,323,255,28.284271247461902,8.06225774829855,30.01666203960727,9.0,235,242,305,246
26,741,255,250,321,254,29.27456233660889,8.246211251235321,31.0,9.0,234,241,304,245
26,741,255,250,321,253,29.27456233660889,9.055385138137417,31.0,10.0,235,240,305,243
26,741,255,250,321,255,30.14962686336267,9.055385138137417,32.0,10.0,234,241,304,245
26,741,256,250,321,254,29.27456233660889,9.055385138137417,31.0,10.04987562112089,235,240,305,244
26,741,256,249,321,253,29.1547594742265,8.06225774829855,31.0,9.0,235,240,304,244
26,741,256,249,322,252,30.26549190084311,8.246211251235321,31.0,9.0,234,240,306,243
26,741,255,250,321,255,30.26549190084311,8.06225774829855,31.0,10.0,234,240,305,245
26,741,256,249,322,254,30.413812651491096,9.219544457292889,31.0,9.0,234,239,305,244
26,741,255,249,322,254,30.26549190084311,8.06225774829855,31.0,9.0,234,239,305,245
26,741,257,249,322,252,30.26549190084311,9.055385138137417,31.0,10.0,235,239,306,243
26,741,257,249,323,253,30.26549190084311,9.055385138137417,31.0,10.0,235,239,306,243
26,741,256,249,322,254,30.26549190084311,9.055385138137417,32.0,10.0,235,239,305,244
26,741,256,249,323,252,30.26549190084311,9.055385138137417,31.016124838541643,9.055385138137417,235,239,306,243
26,741,257,249,323,253,31.256999216175565,9.055385138137417,32.01562118716424,10.0,235,239,306,243
26,741,257,248,323,252,30.14962686336267,8.06225774829855,31.0,8.0,236,239,307,243
26,741,257,249,323,254,29.27456233660889,8.06225774829855,30.01666203960727,9.0,236,240,307,245
26,741,257,248,323,252,30.26549190084311,9.055385138137417,31.0,10.0,235,238,306,242
26,741,257,248,322,252,29.1547594742265,9.055385138137417,30.0,9.0,236,239,306,243
26,741,257,248,323,252,30.26549190084311,8.06225774829855,31.0,10.0,235,238,307,242
26,741,258,248,323,251,30.26549190084311,9.055385138137417,32.0,9.0,236,238,306,242
26,741,257,249,323,253,29.27456233660889,9.219544457292889,31.0,9.055385138137417,236,239,306,244
26,741,257,248,322,253,31.40063693621516,9.055385138137417,32.0,10.0,234,238,306,243
26,741,257,248,322,251,29.27456233660889,8.246211251235321,31.016124838541643,9.0,236,239,306,242
26,741,257,248,323,253,30.413812651491096,9.055385138137417,31.0,10.0,235,239,306,243
26,741,260,252,326,256,27.073972741361768,5.0,30.06659275674582,6.0827625302982185,238,244,306,248
26,741,258,249,323,254,29.27456233660889,8.06225774829855,31.0,9.0,236,240,306,244
